,volume_fraction_al2o3,volume_fraction_zro2,chord_length_mean_al2o3,chord_length_mean_zro2,chord_length_variance_al2o3,chord_length_variance_zro2,interface_al2o3_al2o3,interface_al2o3_zro2,interface_zro2_zro2,thermal_conductivity_composite,thermal_conductivity_al2o3,thermal_conductivity_zro2,temperature,data_source_Al2O3,rve,tcc,RVE_scaling_factor
rve_000/sim_0/results__thermal_conductivity.json,0.70597,0.29403,1.4074999999999998e-05,1.2288e-05,6.4776e-06,5.865e-06,0.47776,0.39649,0.12576,18.608012,33.525106813241564,2.9587838342665,25,Jahm,rve_000,377000000.0,2.3e-06
rve_001/sim_0/results__thermal_conductivity.json,0.18174,0.81826,8.2161e-06,1.2128e-05,4.418899999999999e-06,5.779799999999999e-06,0.0563,0.3832,0.5605,5.05958423,33.525106813241564,2.9587838342665,25,Jahm,rve_001,377000000.0,2.3e-06
rve_002/sim_0/results__thermal_conductivity.json,0.44455,0.55545,9.6117e-06,1.14e-05,4.598499999999999e-06,5.4632e-06,0.26098,0.44911,0.28991,10.242447,33.525106813241564,2.9587838342665,25,Jahm,rve_002,377000000.0,2.3e-06
rve_003/sim_0/results__thermal_conductivity.json,0.94452,0.055477,1.3058999999999998e-05,6.254599999999999e-06,6.9466e-06,4.8639e-06,0.79153,0.19845,0.010023,27.6733776,33.525106813241564,2.9587838342665,25,Jahm,rve_003,377000000.0,2.3e-06
rve_004/sim_0/results__thermal_conductivity.json,0.80268,0.19732,2.2641999999999998e-05,9.220299999999999e-06,1.1378999999999999e-05,6.2537e-06,0.41109,0.42433,0.16458,21.5577988,33.525106813241564,2.9587838342665,25,Jahm,rve_004,377000000.0,2.3e-06
rve_005/sim_0/results__thermal_conductivity.json,0.33444,0.66556,9.1041e-06,1.7088e-05,4.996699999999999e-06,7.9577e-06,0.24462,0.47793,0.27745,8.18918127,33.525106813241564,2.9587838342665,25,Jahm,rve_005,377000000.0,2.3e-06
rve_006/sim_0/results__thermal_conductivity.json,0.31982,0.68018,1.1932e-05,1.5946999999999998e-05,6.246699999999999e-06,7.6364e-06,0.14378,0.48668,0.36955,7.80842195,33.525106813241564,2.9587838342665,25,Jahm,rve_006,377000000.0,2.3e-06
rve_007/sim_0/results__thermal_conductivity.json,0.1678,0.8322,1.9187999999999997e-05,1.1993999999999999e-05,8.1757e-06,5.8737999999999996e-06,0.011719,0.20052,0.78776,4.68153357,33.525106813241564,2.9587838342665,25,Jahm,rve_007,377000000.0,2.3e-06
rve_009/sim_0/results__thermal_conductivity.json,0.16993,0.83007,6.7059e-06,1.4086999999999999e-05,4.4177999999999994e-06,6.9064e-06,0.11031,0.38185,0.50784,5.15155148,33.525106813241564,2.9587838342665,25,Jahm,rve_009,377000000.0,2.3e-06
rve_010/sim_0/results__thermal_conductivity.json,0.24388,0.75612,7.7035e-06,1.3696999999999998e-05,4.171999999999999e-06,6.460499999999999e-06,0.13844,0.45163,0.40993,6.08497568,33.525106813241564,2.9587838342665,25,Jahm,rve_010,377000000.0,2.3e-06
rve_011/sim_0/results__thermal_conductivity.json,0.54821,0.45179,1.1092e-05,1.1394999999999998e-05,5.3158e-06,5.2948000000000005e-06,0.33212,0.44541,0.22248,13.0354528,33.525106813241564,2.9587838342665,25,Jahm,rve_011,377000000.0,2.3e-06
rve_012/sim_0/results__thermal_conductivity.json,0.55237,0.44763,2.4786e-05,1.0471999999999999e-05,1.1584e-05,6.037499999999999e-06,0.1462,0.38988,0.46392,13.1881225,33.525106813241564,2.9587838342665,25,Jahm,rve_012,377000000.0,2.3e-06
rve_013/sim_0/results__thermal_conductivity.json,0.23128,0.76872,6.993199999999999e-06,2.2733e-05,4.389199999999999e-06,1.0862e-05,0.2766,0.43708,0.28632,6.43345556,33.525106813241564,2.9587838342665,25,Jahm,rve_013,377000000.0,2.3e-06
rve_014/sim_0/results__thermal_conductivity.json,0.41251,0.58749,8.932199999999999e-06,2.511e-05,5.3943e-06,1.1934e-05,0.46491,0.39766,0.13743,10.6899539,33.525106813241564,2.9587838342665,25,Jahm,rve_014,377000000.0,2.3e-06
rve_015/sim_0/results__thermal_conductivity.json,0.34359,0.65641,1.7379e-05,9.408799999999999e-06,7.5937e-06,4.7823e-06,0.06797,0.30689,0.62514,7.95254555,33.525106813241564,2.9587838342665,25,Jahm,rve_015,377000000.0,2.3e-06
rve_016/sim_0/results__thermal_conductivity.json,0.35853,0.64147,2.0754999999999997e-05,1.1432e-05,8.8009e-06,5.6127e-06,0.043792,0.38248,0.57373,8.04877336,33.525106813241564,2.9587838342665,25,Jahm,rve_016,377000000.0,2.3e-06
rve_017/sim_0/results__thermal_conductivity.json,0.43552,0.56448,1.3375e-05,1.5818e-05,6.6831e-06,7.6375e-06,0.26498,0.42623,0.30879,10.0939817,33.525106813241564,2.9587838342665,25,Jahm,rve_017,377000000.0,2.3e-06
rve_018/sim_0/results__thermal_conductivity.json,0.17331,0.82669,1.4157999999999999e-05,1.1627e-05,6.3506e-06,5.5433e-06,0.011966,0.27302,0.71502,4.6893846,33.525106813241564,2.9587838342665,25,Jahm,rve_018,377000000.0,2.3e-06
rve_019/sim_0/results__thermal_conductivity.json,0.81343,0.18657,1.3787e-05,6.7712e-06,6.7345e-06,4.338899999999999e-06,0.48871,0.38918,0.12212,22.1072938,33.525106813241564,2.9587838342665,25,Jahm,rve_019,377000000.0,2.3e-06
rve_020/sim_0/results__thermal_conductivity.json,0.47204,0.52796,1.1069999999999999e-05,1.0136e-05,5.062899999999999e-06,4.8851e-06,0.1948,0.51203,0.29317,11.1230167,33.525106813241564,2.9587838342665,25,Jahm,rve_020,377000000.0,2.3e-06
rve_022/sim_0/results__thermal_conductivity.json,0.86456,0.13544,1.2417e-05,7.0198999999999995e-06,5.9474e-06,3.841e-06,0.61034,0.34301,0.04665,24.0628019,33.525106813241564,2.9587838342665,25,Jahm,rve_022,377000000.0,2.3e-06
rve_023/sim_0/results__thermal_conductivity.json,0.83126,0.16874,1.0773e-05,1.5949999999999998e-05,5.2685000000000005e-06,7.0475e-06,0.77597,0.2064,0.017625,23.0946788,33.525106813241564,2.9587838342665,25,Jahm,rve_023,377000000.0,2.3e-06
rve_024/sim_0/results__thermal_conductivity.json,0.2576,0.7424,1.1224999999999998e-05,1.2553e-05,5.302399999999999e-06,5.7389e-06,0.084511,0.39058,0.52491,6.15449344,33.525106813241564,2.9587838342665,25,Jahm,rve_024,377000000.0,2.3e-06
